,sym,date,open,high,low,close,volume
0,akhaber,2020-05-23,15840,15840,15840,15840,13309618
1,ap,2020-05-23,31034,31034,29483,30102,2599653
2,apardaz,2020-05-23,0,28521,28521,28521,1091920
3,boors,2020-05-23,104127,105100,104127,104127,4535260
4,bterans,2020-05-23,38000,38140,36354,36355,11417341
5,dey,2020-05-23,0,15718,15100,15718,71386798
6,energy,2020-05-06,132897,140883,132677,140883,1355711
7,evan,2020-05-23,0,74314,70599,71599,1150513
8,faira,2020-05-23,19780,19780,19780,19780,338894
9,faraboors,2020-05-23,0,110447,110447,110447,1041972
10,farak,2020-05-20,12220,12220,11780,12220,107228509
11,faravar,2020-05-23,23350,24999,23350,23841,2828232
12,fars,2020-05-23,14508,14508,14404,14404,15989406
13,fasmin,2020-05-23,35990,36200,34920,34920,3976806
14,fazar,2020-05-23,40988,40988,40988,40988,5108494
15,fbahonar,2020-05-18,51559,56000,51559,51800,14476514
16,fkhooz,2020-05-23,21600,22400,21522,21522,30840946
17,fmeli,2020-05-23,13124,13599,13123,13123,105965125
18,foolad,2020-05-23,8811,8811,8811,8811,137670564
19,foolazh,2020-05-23,18330,19789,18330,18340,8812238
20,fsorb,2020-05-23,106999,106999,99911,99911,805900
21,fzarin,2020-05-23,0,27779,25135,26950,46246974
22,hafari,2020-05-23,13108,13108,13108,13108,8597035
23,hamrah,2020-05-23,29999,30000,29625,29625,5061752
24,hiweb,2020-05-23,21300,21300,20406,20469,18624480
25,hkeshti,2020-05-23,30800,30955,28115,30955,80363144
26,htaid,2020-05-23,21450,21450,20836,20836,5350081
27,jam,2020-05-23,29200,31451,29200,29201,5358785
28,jampilen,2020-05-23,63000,63000,59000,61700,1626095
29,kala,2020-05-23,80979,80979,80979,80979,741442
30,kama,2020-05-23,70300,70380,70300,70380,3765768
31,kave,2020-05-23,12610,13434,12552,12552,24788600
32,kavir,2020-05-23,38600,38650,38595,38595,3614467
33,kchad,2020-05-23,14586,14586,14586,14586,12445638
34,kerman,2020-05-23,0,88037,80000,83700,11821427
35,kermasha,2020-05-23,30200,30420,28450,28450,15617031
36,kgohar,2020-05-23,0,41230,41230,41230,169715
37,kgol,2020-05-23,13100,13590,13100,13100,16441752
38,khgostar,2020-05-23,4950,4950,4896,4896,175006073
39,khodro,2020-05-23,1353,1491,1350,1491,2429106868
40,khpars,2020-05-23,7421,7421,7421,7421,27790384
41,khsadra,2020-05-04,97706,97708,94863,97708,20340214
42,khsapa,2020-05-23,1802,1802,1632,1641,3483286164
43,khzamya,2020-05-23,11680,11706,11150,11580,138593153
