sym,date,open,high,low,close,volume,pct
a,2020-05-23,15840,15840,15840,15840,13309018,-5.34
a,2020-04-12,8629,8629,8629,8629,6924618,0.84
a,2020-04-11,8557,8557,8557,8557,3703055,0.9
a,2020-04-08,8481,8481,8481,8481,2887910,4.77
a,2020-04-07,8095,8095,8095,8095,15409718,1.11
a,2020-04-06,8006,8006,8006,8006,4463419,1.5
a,2020-04-05,7888,7888,7888,7888,5810869,0.82
a,2020-04-04,7824,7824,7824,7824,3628147,2.45
a,2020-03-30,7637,7637,7637,7637,8229785,1.21
a,2020-03-29,7546,7546,7546,7546,4089855,0.71
a,2020-03-25,7294,7294,7294,7294,9560167,1.18
a,2020-04-13,8829,8829,8829,8829,2969717,2.32
a,2020-03-24,7209,7209,7209,7209,4115369,2.01
a,2020-03-17,6660,6801,6488,6801,55399520,4.91
a,2020-03-16,6270,6483,6270,6483,36933827,3.15
a,2020-03-15,6200,6505,6019,6285,45709831,-0.48
a,2020-03-14,6710,6710,6315,6315,21811288,-5.75
a,2020-03-11,6570,6773,6570,6700,29952352,3.92
a,2020-03-10,6447,6900,6447,6447,51242852,-2.35
a,2020-03-09,6740,6744,6602,6602,8431253,-4.87
a,2020-03-07,6900,7128,6723,6940,34097837,-1.14
a,2020-03-04,7150,7174,6870,7020,40850129,2.44
a,2020-03-03,6853,6853,6748,6853,18366015,4.1
a,2020-03-18,7067,7067,7067,7067,7262437,3.91
a,2020-04-14,8909,8909,8909,8909,11391509,0.91
a,2020-03-28,7493,7493,7493,7493,2356231,2.73
a,2020-04-18,9355,9355,9355,9355,3447333,1.48
a,2020-04-15,9219,9219,9219,9219,4354041,3.48
a,2020-05-19,15253,16015,15253,16015,13535848,9.79
a,2020-05-16,14587,14587,14587,14587,7895090,5.0
a,2020-05-13,13893,13893,13893,13893,11961516,4.98
a,2020-05-12,13234,13234,13000,13234,211053362,1.75
a,2020-05-11,13007,13007,13007,13007,3498104,1.6
a,2020-05-10,12802,12802,12802,12802,3211881,1.98
a,2020-05-09,12554,12554,12554,12554,4263919,3.59
a,2020-05-06,12119,12119,12119,12119,8515962,2.27
a,2020-05-05,11850,11850,11850,11850,5106029,2.6
a,2020-05-04,11550,11550,11550,11550,5847418,1.95
a,2020-05-20,16777,16777,15888,16733,497034538,4.48
a,2020-05-02,11197,11197,11197,11197,2761214,0.74
a,2020-05-03,11329,11329,11329,11329,4481905,1.18
a,2020-04-20,9686,9686,9686,9686,2986151,2.39
a,2020-04-21,9791,9791,9791,9791,2397289,1.08
a,2020-04-22,9878,9878,9878,9878,4710834,0.89
a,2020-04-25,10050,10050,10050,10050,2925885,1.74
a,2020-04-19,9460,9460,9460,9460,6450037,1.12
a,2020-04-27,10304,10304,10304,10304,7651120,1.47
a,2020-04-28,10618,10618,10618,10618,11731435,3.05
a,2020-04-29,11115,11115,11115,11115,1851501,4.68
a,2020-04-26,10155,10155,10155,10155,4180278,1.04
b,2020-03-30,24899,25200,23350,25130,8008984,2.66
b,2020-04-13,29807,29807,26969,27599,8760789,-3.02
b,2020-04-12,28000,28458,27458,28458,12752065,4.73
b,2020-04-11,27174,27174,24586,27174,18246239,4.21
b,2020-04-08,25500,26075,24908,26075,4491185,5.57
b,2020-04-07,24400,25600,24400,24700,5215158,1.23
b,2020-04-06,24880,25020,24291,24400,9737898,-2.48
b,2020-04-14,26569,29360,26569,27300,7964802,-1.08
b,2020-04-05,26750,26750,24500,25020,8815034,-2.85
b,2020-04-04,25390,25753,24600,25753,7384528,2.48
b,2020-03-29,24479,24479,24445,24479,9487270,4.12
b,2020-03-17,20988,21050,19337,19555,4359923,-4.25
b,2020-03-25,21760,22432,21760,22432,6087037,3.19
b,2020-03-24,21402,21897,20301,21738,3182099,3.19
b,2020-03-18,20500,21067,20200,21067,5656920,7.73
b,2020-03-16,19979,20424,19979,20423,4224991,2.81
b,2020-03-15,19300,20033,19028,19865,3652795,0.83
b,2020-03-14,21178,21178,19701,19701,5780798,-5.02
b,2020-03-11,20350,20743,20310,20743,8916548,7.48
b,2020-03-10,19060,20888,19060,19300,4896589,-2.59
b,2020-03-09,19813,20500,19813,19813,1813382,-4.11
b,2020-04-15,28200,29236,27885,29235,8669994,7.09
b,2020-03-28,23506,23511,22800,23511,3240393,4.81
b,2020-04-18,30500,30565,29811,30565,7888447,4.55
b,2020-03-07,20903,21694,20663,20663,4897460,-4.34
b,2020-04-20,29150,31007,29150,30000,7465563,3.68
b,2020-04-19,31690,31979,28936,28936,11787398,-5.33
b,2020-05-20,32000,32899,30857,31203,3989401,-5.03
b,2020-05-19,32850,32982,31500,32856,5334459,4.46
b,2020-05-18,31451,31453,30300,31453,7760849,3.87
b,2020-05-17,28000,30700,27999,30280,5557681,3.88
b,2020-05-16,29696,31174,28210,29150,5240205,0.48
b,2020-05-13,28400,31000,28287,29010,5753556,-2.02
b,2020-05-12,30300,31138,29609,29609,4715916,-4.14
b,2020-05-11,32535,32999,30889,30889,9841187,-6.4
b,2020-05-10,34550,34699,31724,33000,9411292,-1.52
b,2020-05-09,32510,33509,32510,33509,11322272,5.37
b,2020-05-23,31034,31034,29483,30102,2599653,-3.53
b,2020-05-05,33501,34921,33258,33258,5722755,-4.76
b,2020-05-04,34921,35968,34921,34921,10121000,-0.8
b,2020-05-03,36861,36861,35120,35202,4635392,0.23
b,2020-05-02,35118,35120,34920,35120,6880907,3.21
b,2020-04-29,33300,34100,32680,34029,16761193,4.21
b,2020-04-28,33700,34000,32400,32654,9318115,-1.05
b,2020-04-27,34501,34599,32900,33000,9198126,-2.94
b,2020-04-26,34048,34048,32100,34000,17448160,4.82
b,2020-04-25,32436,32436,32111,32436,6732538,4.04
b,2020-04-22,29900,31176,28600,31176,10690969,5.5
b,2020-04-21,29800,30084,29308,29552,5915710,-1.49
b,2020-05-06,31801,32755,31801,31801,12822156,-4.38
c,2020-05-03,100129,100129,100129,100129,989673,5.0
c,2020-05-02,95361,95361,95361,95361,1306643,5.0
c,2020-04-29,90820,90820,90820,90820,2177188,3.44
c,2020-04-21,80000,82599,78728,81150,5571720,3.6
c,2020-04-27,84300,86510,80227,84000,9071269,0.0
c,2020-04-26,90700,90700,82281,84000,8994646,-3.57
c,2020-04-25,85094,87110,84000,87110,6352957,4.32
c,2020-04-22,82750,84000,80100,83500,6029574,2.9
c,2020-04-28,84978,87796,82222,87796,11053803,4.52
c,2020-05-04,105135,105135,105135,105135,5237416,5.0
c,2020-05-11,123355,123355,123355,123355,654470,4.86
c,2020-05-06,100343,110894,100343,109901,9365248,7.85
