sym,date,open,high,low,close,volume,pct
a,2019-08-18,14700,14830,14550,14630,1382176,-0.14
a,2019-08-19,14900,14900,14612,14790,2376202,1.09
a,2019-08-21,14999,15200,14800,15130,2224172,2.3
a,2019-08-24,15340,15688,15010,15400,2147401,1.78
a,2019-08-25,15430,15799,15000,15300,1466459,-0.65
a,2019-08-26,15645,15790,15257,15694,1744956,2.58
a,2019-08-27,15767,16025,15680,15680,2242878,-0.09
a,2019-08-28,15871,16000,15251,15785,2509863,0.67
a,2019-08-31,15950,16100,15780,15846,3076223,0.39
a,2019-09-01,16000,16725,16000,16595,5062799,4.73
a,2019-09-02,16650,16730,16000,16150,2690950,-2.68
a,2019-09-03,16300,16500,15910,16277,1203351,0.79
a,2019-09-04,16014,16255,15956,16120,3063869,-0.96
a,2019-09-07,16248,16878,16180,16878,10761519,4.7
a,2019-09-08,17255,17598,17000,17122,6440761,1.45
a,2019-09-11,17500,17500,16980,16990,3113019,-0.77
a,2019-09-14,17297,17297,16650,16750,3623946,-1.41
a,2019-09-15,16980,17090,16670,16999,7673622,1.49
a,2019-09-16,17130,17490,16699,16699,6872972,-1.76
a,2019-09-17,16699,16909,16490,16490,4407628,-1.25
a,2019-09-18,16310,16310,15778,16278,3804402,-1.29
a,2019-09-21,15859,16250,15859,16028,3645218,-1.54
a,2019-09-22,16100,16588,16100,16267,3536320,1.49
a,2019-09-23,16761,17020,16300,16840,6024452,3.52
a,2019-09-24,17021,17100,16600,16841,3265423,0.01
a,2019-09-25,16841,16998,16500,16629,3874977,-1.26
a,2019-09-28,16632,16899,16400,16500,5160955,-0.78
a,2019-09-29,16599,16600,16200,16345,2105932,-0.94
a,2019-09-30,16303,16867,16015,16609,3981142,1.62
a,2019-10-01,16060,16750,16060,16080,3247013,-3.19
a,2019-10-02,16300,16300,15961,16150,2697856,0.44
a,2019-10-05,16379,16379,15600,15799,3688759,-2.17
a,2019-10-06,15855,15999,15260,15880,4521148,0.51
a,2019-10-07,15999,16400,15879,16180,4380475,1.89
a,2019-10-08,16446,16803,15702,16209,4783485,0.18
a,2019-10-09,16550,16825,16211,16800,2384618,3.65
a,2019-10-12,16950,17405,16950,17405,21011367,3.6
a,2019-10-13,18223,18223,18200,18223,73277362,4.7
a,2019-10-14,18223,18947,17541,18380,24915433,0.86
a,2019-10-15,18599,18840,17463,17860,24508833,-2.83
a,2019-10-16,17860,18515,17860,18515,25667336,3.67
a,2019-10-20,18456,19134,17700,17940,12320802,-3.11
a,2019-10-21,18121,19000,18097,18970,8899466,5.74
a,2019-10-22,19000,19115,18300,18887,6362675,-0.44
a,2019-10-23,19590,19590,18800,18896,10575410,0.05
a,2019-10-26,18824,19000,18426,18426,3943372,-2.49
a,2019-10-28,18660,18800,18251,18403,3819039,-0.12
a,2019-10-30,18498,18789,18271,18520,5636065,0.64
a,2019-11-02,18888,18888,17952,18249,3916953,-1.46
